Left Velocity (ft/s),Right Velocity (ft/s),Refresh Rate (ms)
0.0,0.0,10.0
1.4286848698286925,1.4273823464911235,10.0
2.1450374095473603,2.142571601104209,10.0
2.550289825370165,2.54639634422846,10.0
2.7794861491604177,2.7737437070014392,10.0
2.9090193897442944,2.9008031264011773,10.0
2.982119076536499,2.970487109026777,10.0
3.023213615735388,3.006830650242252,10.0
3.046077215837472,3.023118602572212,10.0
3.0584731019154607,3.0264373667959985,10.0
3.0648679130351346,3.020119323701014,10.0
3.0677284628169597,3.0052280305037455,10.0
3.0683611091900675,2.9813552225360955,10.0
3.0675515350018063,2.9469339976899604,10.0
3.066333440926362,2.898948112204563,10.0
3.0654700124290453,2.8333345870606457,10.0
3.065622230710286,2.7452554763594827,10.0
3.0681427831743506,2.629014891228011,10.0
3.077346568138017,2.4764202454045807,10.0
3.09734878794904,2.27937918868286,10.0
3.1310910270733667,2.033346142573375,10.0
3.1808084459588772,1.7408138755506393,10.0
3.25590967278796,1.4069721454589896,10.0
3.3491425128446255,1.0617861770617734,10.0
3.4155449160382756,0.7875336132045953,10.0
3.372393857425887,0.6664370187361844,10.0
3.231619303905454,0.595378862707631,10.0
3.037823004487355,0.5739224790244389,10.0
2.8263152082717413,0.6522765024426742,10.0
2.613210738953397,0.8118054557355239,10.0
2.4254411354850434,0.9948269981189034,10.0
2.274768563835704,1.1662329070702087,10.0
2.159060068145589,1.3134576028312646,10.0
2.069855758212124,1.436423405769312,10.0
2.0028537719915147,1.5345163450941213,10.0
1.9537998039873807,1.6097745965987293,10.0
1.9180235760096238,1.6661859442641704,10.0
1.8910000083484835,1.7081116536049128,10.0
1.8699425961817893,1.737962581299482,10.0
1.8523319481173641,1.7573271932838372,10.0
1.8352634938154098,1.7669489295905605,10.0
1.8149570734120202,1.76615292708053,10.0
1.786239703009703,1.7516302334864193,10.0
1.7407043378841003,1.7163541863631453,10.0
1.6639593158453445,1.6470709015600533,10.0
1.5309529051574293,1.5196614321697361,10.0
1.297807528229622,1.2908498103936819,10.0
0.8871821182486607,0.8837626473491694,10.0
0.0,0.0,10.0
